update__date;album_cover__jpeg;album__href;album__name;artist__href;artist__name;release__date;release__date_text
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/35/ca/91/35ca9107-bf85-fb75-6dbc-ddadc26870e1/822603196603.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/swords-of-dajjal/1715036480;Swords of Dajjal;https://music.apple.com/us/artist/necrowretch/585731005;Necrowretch;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/86/29/dc/8629dc32-20cc-1ed1-3f97-3f33b7f906b7/197190290646.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/othervoid/1714339963;Othervoid;https://music.apple.com/us/artist/transit-method/447630134;Transit Method;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/61/92/4f/61924f82-520e-89f2-168b-5b7aa8b28a3b/cover.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/resilience/1718280725;Resilience;https://music.apple.com/us/artist/20-seconds-falling-man/1390673930;20 Seconds Falling Man;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/31/66/57/31665720-a783-bff7-2597-38c2a8815e3a/617395989683.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/raptures-of-psychopathy/1719757212;Raptures of Psychopathy;https://music.apple.com/us/artist/stages-of-decomposition/883485780;Stages Of Decomposition;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4e/db/50/4edb5076-9928-da2b-a7f7-c2bcc1c247cc/197189370137.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/metaphysicize/1715034064;Metaphysicize;https://music.apple.com/us/artist/bipolar-architecture/1513614101;Bipolar Architecture;2024-02-02 00:00:00;February 2, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/fe/cc/b4/feccb481-e96d-4b82-d482-08807bd69f82/795154145898.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/sparagmos/1719969901;Sparagmos;https://music.apple.com/us/artist/spectral-voice/1268713897;Spectral Voice;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/2e/04/64/2e04648d-6eee-b53c-d666-02ad9ee2a120/197190308440.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/no-name-graves/1715030530;No Name Graves;https://music.apple.com/us/artist/the-last-ten-seconds-of-life/459333090;The Last Ten Seconds of Life;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/84/c8/f6/84c8f6d1-b438-9550-cfc9-85c81cc988a4/23CRGIM37713.rgb.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/she-reaches-out-to-she-reaches-out-to-she/1711265605;She Reaches Out To She Reaches Out To She;https://music.apple.com/us/artist/chelsea-wolfe/252188912;Chelsea Wolfe;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/2e/dc/2b/2edc2b2c-8f7f-316f-c49c-099e611a37df/810135719438.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/time/1710565500;TIME;https://music.apple.com/us/artist/infected-rain/428531024;Infected Rain;2024-02-09 00:00:00;February 9, 2024
2024-01-31;https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/0e/57/61/0e576136-a24b-b55f-d882-b8ec1cc0381e/843563170953.jpg/296x296bf-60.jpg;https://music.apple.com/us/album/ashes-in-the-huron-river/1716579995;Ashes In the Huron River;https://music.apple.com/us/artist/theophonos/1670632853;Theophonos;2024-02-09 00:00:00;February 9, 2024
