mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
Cavalera Conspiracy;Groove Metal;Cavalera Conspiracy;273152410;2026-02-06 09:14:46
Cellar Darling;Folk Metal;Cellar Darling;1448925855;2026-02-06 09:14:50
Centr;Hip-Hop;Centr;362131770;2026-02-06 09:14:54
Charlotte Wessels;Symphonic Metal;Charlotte Wessels;307783101;2026-02-06 09:14:58
Charred Walls of the Damned;Heavy Metal;Charred Walls of the Damned;339161543;2026-02-06 09:15:03
Chelsea Grin;Deathcore;Chelsea Grin;286570387;2026-02-06 09:15:07
Chevelle;Alternative;Chevelle;519486;2026-02-06 09:15:12
Children of Bodom;Melodic Death Metal;Children of Bodom;13550318;2026-02-06 09:15:17
Chimaira;Groove Metal;Chimaira;16638953;2026-02-06 09:15:21
Chimbala;Pop;;0;
Chris Brown;R&B;Chris Brown;95705522;2026-02-06 09:15:29
Christina Aguilera;Pop;Christina Aguilera;259398;2026-02-06 09:15:35
Ciara;R&B;Ciara;14317116;2026-02-06 09:15:41
City of Fire;Alternative;;0;
Clawfinger;Rap Metal;Clawfinger;18935530;2026-02-06 09:15:45
Cobra Spell;Hard Rock;Cobra Spell;1527728038;2026-02-06 09:15:49
Coffin Feeder;Deathcore;Coffin Feeder;1588352091;2026-02-06 09:15:54
Coheed and Cambria;Alternative;Coheed and Cambria;15031628;2026-02-06 09:15:58
Cold;Alternative;Cold;435825401;2026-02-06 09:16:03
Cold Slither;Heavy Metal;Cold Slither;1799247657;2026-02-06 09:16:07
Coldplay;Alternative;Coldplay;471744;2026-02-06 09:16:14
Connections;Metal;Connections;1655646304;2026-02-06 09:16:18
Conquer Divide;Metalcore;Conquer Divide;706356959;2026-02-06 09:16:23
Conquering Dystopia;Progressive Metal;Conquering Dystopia;834634416;2026-02-06 09:16:27
Contracult Collective;Industrial Metal;Contracult Collective;1494882725;2026-02-06 09:16:32
Corey Taylor;Rock;Corey Taylor;1182900937;2026-02-06 09:16:36
Corpsegrinder;Death Metal;Corpsegrinder;1577450345;2026-02-06 09:16:40
Covenant;Symphonic Black Metal;Covenant;6842529;2026-02-06 09:16:44
Cradle of Filth;Symphonic Black Metal;Cradle of Filth;3738030;2026-02-06 09:16:49
Craig David;Pop;;0;
Crazy Town;Alternative;Crazy Town;524819;2026-02-06 09:16:54
Creed;Alternative;Creed;2861519;2026-02-06 09:16:58
Creedence Clearwater Revival;Rock;;0;
Crobot;Hard Rock;Crobot;568294157;2026-02-06 09:17:04
Crow Black Chicken;Stoner Metal;Crow Black Chicken;540063815;2026-02-06 09:17:08
Cryptopsy;Technical Death Metal;Cryptopsy;41977108;2026-02-06 09:17:13
Cyhra;Metal;Cyhra;1269835458;2026-02-06 09:17:17
Cypress Hill;Rap Metal;Cypress Hill;465802;2026-02-06 09:17:22
Daath;Melodic Death Metal;Daath;178617554;2026-02-06 09:17:26
Dagger Threat;Metalcore;Dagger Threat;1459158516;2026-02-06 09:17:31
Damageplan;Groove Metal;Damageplan;3845631;2026-02-06 09:17:35
Dan Forden;Soundtrack;Dan Forden;627761698;2026-02-06 09:17:39
Daniel Licht;Score;;0;
Daniel Sadowski;Score;;0;
Dark Funeral;Black Metal;Dark Funeral;256917288;2026-02-06 09:17:44
Dark Sarah;Symphonic Metal;Dark Sarah;688705822;2026-02-06 09:17:48
Dark Tranquillity;Melodic Death Metal;Dark Tranquillity;18243687;2026-02-06 09:17:53
Darkane;Melodic Death Metal;Darkane;17249127;2026-02-06 09:17:58
Darkwoods My Betrothed;Symphonic Black Metal;Darkwoods My Betrothed;581951674;2026-02-06 09:18:02
Daughtry;Hard Rock;Daughtry;748174;2026-02-06 09:18:06
David Guetta;EDM;David Guetta;5557599;2026-02-06 09:18:15
Dayseeker;Alternative;Dayseeker;726336927;2026-02-06 09:18:19
De Sangre;Alternative;;0;
Dead by April;Metalcore;Dead By April;307522520;2026-02-06 09:18:24
Dead Icarus;Metalcore;Dead Icarus;1696366666;2026-02-06 09:18:28
Dead Wing;Stoner Metal;Dead Wing;459042712;2026-02-06 09:18:32
Deadmau5;EDM;Deadmau5;78011850;2026-02-06 09:18:39
Death;Death Metal;Death;17249530;2026-02-06 09:18:44
Decapitated;Technical Death Metal;Decapitated;42258018;2026-02-06 09:18:48
Dee Snider;Heavy Metal;Dee Snider;6547189;2026-02-06 09:18:52
Deep Purple;Hard Rock;Deep Purple;135532;2026-02-06 09:18:58
Deer Death;Alternative;Deer Death;1686925632;2026-02-06 09:19:03
Defecto;Progressive Metal;Defecto;1081768030;2026-02-06 09:19:07
Deicide;Death Metal;Deicide;16644222;2026-02-06 09:19:11
Delain;Symphonic Metal;Delain;184414833;2026-02-06 09:19:16
Demon Hunter;Metalcore;Demon Hunter;17800621;2026-02-06 09:19:20
Demonical;Death Metal;Demonical;443229623;2026-02-06 09:19:25
Demotional;Metalcore;Demotional;437778215;2026-02-06 09:19:29
